date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,27,10,0,0
2021-04-02,Japan,0,88,33,0,0
2021-04-02,Sweden,0,4,5,0,0
2021-04-03,Afghanistan,0,20,17,0,0
2021-04-03,Japan,0,64,57,0,0
2021-04-03,Sweden,0,4,5,0,0
2021-04-04,Afghanistan,0,17,20,0,0
2021-04-04,Japan,0,50,71,0,0
2021-04-04,Sweden,0,2,7,0,0
2021-04-05,Afghanistan,0,16,21,0,0
2021-04-05,Japan,0,38,83,0,0
2021-04-05,Sweden,0,1,8,0,0
2021-04-06,Afghanistan,0,14,13,4,6
2021-04-06,Japan,0,28,60,17,16
2021-04-06,Sweden,0,1,3,5,0
2021-04-07,Afghanistan,0,14,6,6,11
2021-04-07,Japan,0,19,45,29,28
2021-04-07,Sweden,0,1,3,5,0
2021-04-08,Afghanistan,0,10,7,9,11
2021-04-08,Japan,0,15,35,35,36
2021-04-08,Sweden,0,1,1,5,2
2021-04-09,Afghanistan,0,10,6,9,12
2021-04-09,Japan,0,10,28,41,42
2021-04-09,Sweden,0,0,1,6,2
2021-04-10,Afghanistan,0,9,5,10,13
2021-04-10,Japan,0,6,22,46,47
2021-04-10,Sweden,0,0,1,6,2
2021-04-11,Afghanistan,0,7,7,10,13
2021-04-11,Japan,0,4,15,51,51
2021-04-11,Sweden,0,0,1,6,2
2021-04-12,Afghanistan,0,6,4,12,15
2021-04-12,Japan,0,2,13,53,53
2021-04-12,Sweden,0,0,1,6,2
2021-04-13,Afghanistan,0,6,4,12,15
2021-04-13,Japan,0,2,8,55,56
2021-04-13,Sweden,0,0,0,7,2
2021-04-14,Afghanistan,0,5,4,12,16
2021-04-14,Japan,0,1,5,58,57
2021-04-14,Sweden,0,0,0,7,2
2021-04-15,Afghanistan,0,4,3,13,17
2021-04-15,Japan,0,1,3,58,59
2021-04-15,Sweden,0,0,0,7,2
2021-04-16,Afghanistan,0,4,2,13,18
2021-04-16,Japan,0,1,1,58,61
2021-04-16,Sweden,0,0,0,7,2
2021-04-17,Afghanistan,0,4,2,13,18
2021-04-17,Japan,0,1,1,58,61
2021-04-17,Sweden,0,0,0,7,2
2021-04-18,Afghanistan,0,3,2,13,19
2021-04-18,Japan,0,1,0,58,62
2021-04-18,Sweden,0,0,0,7,2
2021-04-19,Afghanistan,0,3,1,14,19
2021-04-19,Japan,0,1,0,58,62
2021-04-19,Sweden,0,0,0,7,2
2021-04-20,Afghanistan,1,2,2,19,13
2021-04-20,Japan,3,1,0,71,46
2021-04-20,Sweden,0,0,0,7,2
2021-04-21,Afghanistan,1,2,2,24,8
2021-04-21,Japan,6,1,0,80,34
2021-04-21,Sweden,0,0,0,7,2
2021-04-22,Afghanistan,1,1,2,25,8
2021-04-22,Japan,7,1,0,87,26
2021-04-22,Sweden,0,0,0,9,0
2021-04-23,Afghanistan,1,1,2,26,7
2021-04-23,Japan,9,0,1,91,20
2021-04-23,Sweden,0,0,0,9,0
2021-04-24,Afghanistan,1,1,1,27,7
2021-04-24,Japan,10,0,1,95,15
2021-04-24,Sweden,0,0,0,9,0
2021-04-25,Afghanistan,1,1,1,27,7
2021-04-25,Japan,10,0,1,99,11
2021-04-25,Sweden,0,0,0,9,0
2021-04-26,Afghanistan,1,1,0,30,5
2021-04-26,Japan,10,0,1,101,9
2021-04-26,Sweden,0,0,0,9,0
2021-04-27,Afghanistan,1,1,0,30,5
2021-04-27,Japan,11,0,0,103,7
2021-04-27,Sweden,0,0,0,9,0
2021-04-28,Afghanistan,1,1,0,31,4
2021-04-28,Japan,11,0,0,104,6
2021-04-28,Sweden,0,0,0,9,0
2021-04-29,Afghanistan,1,1,0,32,3
2021-04-29,Japan,11,0,0,106,4
2021-04-29,Sweden,0,0,0,9,0
2021-04-30,Afghanistan,1,1,0,33,2
2021-04-30,Japan,11,0,0,108,2
2021-04-30,Sweden,0,0,0,9,0
2021-05-01,Afghanistan,1,1,0,33,2
